Date,Price
3/13/2017,28291
3/14/2017,28100
3/15/2017,28019
3/16/2017,28436
3/17/2017,28528
3/20/2017,28518
3/21/2017,28853
3/22/2017,28886
3/23/2017,28816
3/24/2017,28809
3/27/2017,28839
3/28/2017,28872
3/29/2017,28762
3/30/2017,28559
3/31/2017,28612
4/3/2017,28720
4/4/2017,28960
4/5/2017,28617
4/6/2017,28697
4/7/2017,28650
4/10/2017,28699
4/11/2017,29149
4/12/2017,29189
4/13/2017,29358
4/17/2017,29392
4/18/2017,29518
4/19/2017,29313
4/20/2017,29308
4/21/2017,29432
4/24/2017,29128
4/25/2017,28827
4/26/2017,28757
4/27/2017,28784
4/28/2017,28872
5/1/2017,28654
5/2/2017,28571
5/3/2017,28571
5/4/2017,28060
5/5/2017,28184
5/8/2017,28119
5/9/2017,27981
5/10/2017,28007
5/11/2017,28022
5/12/2017,28019
5/15/2017,28008
5/16/2017,28109
5/17/2017,28614
5/18/2017,28710
5/19/2017,28634
5/22/2017,28783
5/23/2017,28808
5/24/2017,28719
5/25/2017,28638
5/26/2017,28847
5/29/2017,28874
5/30/2017,28704
5/31/2017,28905
6/1/2017,28749
6/2/2017,28949
6/5/2017,29111
6/6/2017,29481
6/7/2017,29376
6/8/2017,29049
6/9/2017,28938
6/12/2017,28917
6/13/2017,28862
6/14/2017,28946
6/15/2017,28686
6/16/2017,28616
6/19/2017,28473
6/20/2017,28475
6/21/2017,28495
6/22/2017,28557
6/23/2017,28648
6/26/2017,28426
6/27/2017,28483
6/28/2017,28485
6/29/2017,28527
6/30/2017,28295
7/3/2017,27952
7/4/2017,28043
7/5/2017,28051
7/6/2017,28143
7/7/2017,27812
7/10/2017,27840
7/11/2017,27871
7/12/2017,27889
7/13/2017,27868
7/14/2017,28022
7/17/2017,28147
7/18/2017,28280
7/19/2017,28270
7/20/2017,28345
7/21/2017,28541
7/24/2017,28530
7/25/2017,28490
7/26/2017,28396
7/27/2017,28477
7/28/2017,28596
7/31/2017,28588
8/1/2017,28514
8/2/2017,28486
